x,y,z,rx,ry,rz,q1,q2,q3,q4,q5,q6,vx,vy,vz,wx,wy,wz,vx_t,vy_t,vz_t,wx_t,wy_t,wz_t,print
-0.3386130053095797,-0.45800606887422524,1.061210075540864,-0.7277751558202533,-1.7546195266554336,1.7753107696148962,0.13237625360488892,-1.9882453123675745,1.6009302139282227,-2.764386002217428,-0.9198492209063929,0.010965191759169102,-0.18122205062465008,-0.1921364625257858,-0.0034306710541626376,0.0011365250665003098,0.001005763675400919,0.0020449776696407334,-0.18426222924679775,-0.1937102739752362,-0.003331073652952129,-0.0001262427996715186,-0.00012491610771970217,-0.0003953678177965758,False
-0.3400062679414856,-0.4596875320330379,1.0611570138111728,-0.7277009308462861,-1.7548016650074356,1.775448931153978,0.1375882625579834,-1.9844806830035608,1.5990238189697266,-2.7661379019366663,-0.9248579184161585,0.01089328620582819,-0.19238664864933278,-0.20358237664864126,-0.0018933221082237622,0.0023716613841050244,0.005080629491452257,0.0014947193569362074,-0.1952888325047129,-0.20530226622996509,-0.0035304114521500533,-0.00013379740964550302,-0.0001323913255851638,-0.0004190273819100081,False
-0.34160141312792525,-0.4613493603831025,1.061150745347255,-0.7276210922466105,-1.7547155970982333,1.775475209817589,0.1426444947719574,-1.980464283620016,1.5969133377075195,-2.7681053320514124,-0.9299257437335413,0.010809396393597126,-0.204130762382952,-0.21458970959396503,-0.003302326551717115,-0.00025635487535455824,0.003358873605123573,0.0030415999666185333,-0.2063154357627486,-0.2168942584854423,-0.0037297492514286237,-0.00014135201963837163,-0.00013986654349308625,-0.00044268694606857127,False
-0.343253543593575,-0.4631221813884919,1.061127479055098,-0.7275200245712247,-1.7547432912391523,1.7755015689469762,0.14794039726257324,-1.9762566725360315,1.5946836471557617,-2.770060364400045,-0.9351614157306116,0.010677196085453033,-0.21870247650808564,-0.2272982086277559,-0.005293548713877498,0.0012662210291757674,-0.0007333771318736148,-0.0015076109493589154,-0.2173420390208137,-0.22848625074189405,-0.00392908705081437,-0.00014890662964856492,-0.00014734176144707428,-0.00046634651027638806,False
-0.34498036976924557,-0.4649751677165694,1.0611205354564122,-0.7273645277061561,-1.7546391864086286,1.7755002420695944,0.15341567993164062,-1.971856419240133,1.5923213958740234,-2.772184197102682,-0.9406493345843714,0.01053338497877121,-0.22677770142669412,-0.23803847185042656,-0.00415344477991814,0.0019737134172789442,0.003384615552330066,9.990376297907741e-05,-0.22836864227883574,-0.24007824299954822,-0.004128424850324966,-0.00015646123967768752,-0.0001548169794534683,-0.0004900060745387984,False
-0.3467681605067849,-0.4669464063692388,1.0611324469020724,-0.7271647128914982,-1.7546328979694261,1.7756529086588975,0.15910744667053223,-1.9672048727618616,1.5897798538208008,-2.774379555379049,-0.9461963812457483,0.010461479425430298,-0.23462300637990233,-0.25090105102663784,-0.00231572049534558,-2.1297745442201005e-05,0.007517587896287502,0.0055629609419134635,-0.23939524553674496,-0.2516702352586082,-0.004327762649977099,-0.00016401584972406714,-0.00016229219751258926,-0.00051366563885511,False
-0.3487023899625585,-0.4690182523173762,1.0611558707969926,-0.7270681669095617,-1.7545171660486967,1.7756586320718453,0.16502653062343597,-1.9622896353351038,1.587033748626709,-2.776623074208395,-0.952151123677389,0.010341262444853783,-0.24485542225234636,-0.25956073050237677,0.0026068533205631916,-0.0036392013446149545,0.01355210884262506,-0.0054073711755906265,-0.24898613586256693,-0.25913077973015225,-0.004313160324537284,-0.00010950297894310977,-0.00019763789592391195,-0.000475148163124552,False
-0.3506652378607777,-0.47114491891875554,1.0612072711199814,-0.7269108693321444,-1.7543252344276288,1.7757055188713589,0.17100515961647034,-1.9572537581073206,1.5841684341430664,-2.7789629141436976,-0.958165470753805,0.010245389305055141,-0.2505479298101247,-0.2678089250523026,0.0007897982571354861,0.001034838582805401,0.012912560961617513,0.00396968485744237,-0.25291116497721067,-0.25066199042327136,-0.003481147952645227,0.0001812176653495888,-0.0003388468102429997,-0.00019970634870353416,False
-0.3527613408003067,-0.4732385154635592,1.0611958371569203,-0.7268593118652362,-1.754371668328826,1.7757864165801651,0.17663699388504028,-1.952122990285055,1.5812907218933105,-2.7811816374408167,-0.9637129942523401,0.010161499492824078,-0.254913952558949,-0.2499807783553105,0.0011292959803484981,-0.00391467130714023,0.004894607593873659,0.0022281934385079563,-0.2564963807395895,-0.24183596383570674,-0.0026429924698019294,0.000472171124524556,-0.00047982535632909613,7.646459651568948e-05,False
-0.35488144441702896,-0.4751924990375664,1.061088341623066,-0.7269672559428123,-1.754628407911426,1.7757902575530302,0.18168123066425323,-1.947207276021139,1.5786170959472656,-2.783149544392721,-0.9686492125140589,0.010041656903922558,-0.2623139323564479,-0.2387251280129236,-0.00237276060240906,0.0037588432547252144,0.0035892160825690255,-0.0037389723663212656,-0.2533093146511371,-0.22589040666969948,-0.0016824083698277882,0.0007677644484745307,-0.0006162127979406403,0.0003671666931166782,False
-0.35704312466127663,-0.4770165398053854,1.0609608815592162,-0.7271872907162353,-1.7547315731578452,1.775697978201673,0.18627044558525085,-1.9424355665790003,1.5760512351989746,-2.785128895436422,-0.973309342061178,0.009945783764123917,-0.26010232269970646,-0.2194922501620528,-0.008017049893372718,0.0033118066675663924,-0.010798657731088512,-0.004184106037966841,-0.24683828082991888,-0.2064924963372072,-0.0006624570377913054,0.0010656077033254201,-0.0007503739531549876,0.0006649151344067536,False
-0.359309033121444,-0.4787133781360109,1.0607467432492936,-0.7276821157223281,-1.755104750333221,1.7754927396090197,0.19030800461769104,-1.9377720991717737,1.5735931396484375,-2.7867725531207483,-0.9774192015277308,0.009825566783547401,-0.2574691322914859,-0.19550790493113862,-0.006269340122018114,0.006507044347184114,-0.012683344091251532,-0.016668056126178464,-0.24070706036096562,-0.18745182328539936,0.00035135118329404896,0.0013632181432937963,-0.0008847654766023574,0.0009619344449017267,False
-0.3614202024007398,-0.4801914450313356,1.0606181742585254,-0.7280020357892193,-1.7552234849198023,1.7752727519807414,0.19372312724590302,-1.9334920088397425,1.5712313652038574,-2.788379971181051,-0.9810016790973108,0.00969373993575573,-0.24895944832944122,-0.1760324913946376,-0.009213810868760254,0.005241249629282517,-0.013759050185496382,-0.014893025361269593,-0.23491565324427802,-0.16876838751427595,0.0013590162934283099,0.0016605957683797816,-0.0010193873682827837,0.0012582246245996494,False
-0.3633861260344447,-0.48152565341548625,1.060540256010978,-0.7281174199313226,-1.7553476199481877,1.7751601490305198,0.19667087495326996,-1.9294870535479944,1.5689411163330078,-2.789892021809713,-0.9839847723590296,0.009561914019286633,-0.24027189004607571,-0.15707411767387083,-0.004626370200834049,0.007352542092278875,-0.0065123076643270866,-0.011895221252685554,-0.22946405947985518,-0.15044218902383538,0.0023605382926119934,0.001957740578583292,-0.0011542396281965066,0.0015537856735003135,False
